,type,image_link-href,address,toilet_name,district_name,coords,award_int
269,Market & Food Centre,https://www.toilet.org.sg/gallery/338/3-star-toilet-sims-vista-market-and-food-centre,"Blk 49 Sims Place, S(380049)",Sims Vista Market & Food Centre,Central District,"(1.3170535, 103.8793293)",3
270,Coffeeshop,https://www.toilet.org.sg/gallery/423/3-Star-Toilet-Kopitiam-231-Sumang-Lane,"231, Sumang Lane, S(820231)",Kopitiam @ 231 Sumang Lane,North East District,"(1.4019589, 103.8921939)",3
271,MRT Station,https://www.toilet.org.sg/gallery/142/4-star-toilet-lorong-chuan-mrt-station,"150 Serangoon Avenue 3, S(554533)",Lorong Chuan MRT Station,South East District,"(1.3517876, 103.8636601)",4
272,Tourist Attraction,https://www.toilet.org.sg/gallery/56/5-star-toilet-sentosa-palawan-kidz-city,"31 Beach View, Palawan Kidz City S(098008)",Sentosa Palawan Kidz City,Central District,"(1.2515984, 103.8202485)",5
273,MRT Station,https://www.toilet.org.sg/gallery/306/4-star-toilet-harbourfront-mrt-station-ne1,"81 Telok Blangah Road, S(098867)",HarbourFront MRT Station (NE1),Central District,"(1.2655352, 103.8212226)",4
274,Shopping Centre,https://www.toilet.org.sg/gallery/41/4-star-toilet-robertson-walk,"11, Unity Street, #02-20A, S(237995)",Robertson Walk,Central District,"(1.2919896, 103.8416883)",4
275,Shopping Centre,https://www.toilet.org.sg/gallery/266/5-stars-greenridge-shopping-centre,"524A Jelapang Road, S(671524)",Greenridge Shopping Centre,South West District,"(1.3853755, 103.7663006)",5
276,MRT Station,https://www.toilet.org.sg/gallery/277/4-Star-Toilet-Jalan-Besar-MRT-Station,"35B Jalan Besar, S(208800)","Jalan Besar MRT Station, B1 (DT22)",Central District,"(1.304248, 103.8546483)",4
277,MRT Station,https://www.toilet.org.sg/gallery/372/4-star-toilet-bukit-batok-mrt-station-n2,"10 Bukit Batok Central, S(659958)",Bukit Batok MRT Station (N2),South West District,"(1.3490579, 103.7496251)",4
278,MRT Station,https://www.toilet.org.sg/gallery/98/4-star-toilet-eunos-mrt,"30 Eunos Crescent, S(409423)",Eunos MRT Station,North East District,"(1.3196998, 103.902894)",4
279,MRT Station,https://www.toilet.org.sg/gallery/85/4-star-toilet-botanic-gardens-mrt-station,"701, Telok Blangah Road, S(109029)",Botanic Gardens MRT station,Central District,"(1.272255, 103.803149)",4
280,Shopping Centre,https://www.toilet.org.sg/gallery/114/4-star-toilet-century-square,"2 Tampines Central 5, S(529509)",Century Square,North East District,"(1.3523888, 103.9438567)",4
281,MRT Station,https://www.toilet.org.sg/gallery/419/4-Star-Toilet-Mayflower-Mrt-Station-TE-6-,"91 Ang Mo Kio Avenue 4, S(569900)",Mayflower MRT Station (TE6),Central District,"(1.3718506, 103.8368686)",4
282,Market & Food Centre,https://www.toilet.org.sg/gallery/125/4-star-toilet-bukit-panjang-hawker-centre,"259 Bukit Panjang Ring Road, S(671259)",Bukit Panjang Hawker Centre,North West District,"(1.3773085, 103.7730453)",4
283,MRT Station,https://www.toilet.org.sg/gallery/365/5-star-toilet-bras-basah-mrt-station,"65 Bras Basah Road, S(189561)",Bras Basah MRT Station,Central District,"(1.296647, 103.850933)",5
284,Bus Interchange,https://www.toilet.org.sg/gallery/301/3-star-toilet-boon-lay-bus-interchange,"87 Jurong West Central 3, S(648343)",Boon Lay Bus Interchange,South West District,"(1.3401005, 103.7056632)",3
285,Market & Food Centre,https://www.toilet.org.sg/gallery/410/5-star-toilet-zion-riverside-food-centre,"70 Zion Road, S(247792)",Zion Riverside Food Centre,Central District,"(1.2924504, 103.831136)",5
286,Market & Food Centre,https://www.toilet.org.sg/gallery/26/4-star-toilet-maxwell-food-centre,"1 Kadayanallur Street, S(069184)",Maxwell Food Centre,Central District,"(1.2802419, 103.8449058)",4
287,MRT Station,https://www.toilet.org.sg/gallery/92/4-star-toilet-outram-park-mrt-station,"10 Outram Road, S(169037)",Outram MRT Station,Central District,"(1.2814265, 103.8391803)",4
288,Market & Food Centre,https://www.toilet.org.sg/gallery/268/4-stars-yishun-park-hawker-centre,"51 Yishun Avenue 11, S(768867)",Yishun Park Hawker Centre,North West District,"(1.4249457, 103.8447228)",4
289,MRT Station,https://www.toilet.org.sg/gallery/298/5-star-toilet-punggol-mrt-station-ne17,"10 Punggol Central, S(828868)",Punggol MRT Station-NE17,North East District,"(1.4064702, 103.8994441)",5
290,MRT Station,https://www.toilet.org.sg/gallery/262/4-stars-tuas-west-mrt-station,"131, Pioneer Road, S(639609)",Tuas West MRT Station,South West District,"(1.3291552, 103.6403309)",4
291,Coffeeshop,https://www.toilet.org.sg/gallery/49/3-star-toilet-ccmw-cantoment-road,"Blk 1 Cantonment Road, S(080001)",CCMW,Central District,"(1.2756629, 103.8412706)",3
292,Shopping Centre,https://www.toilet.org.sg/gallery/169/5-star-toilet-jurong-point-shopping-centre,"1 Jurong West Central 2, #03-07, Jurong Point Shopping Centre, S(648886)",Jurong Point Shopping Centre,South West District,"(1.3399257, 103.7062886)",5
293,MRT Station,https://www.toilet.org.sg/gallery/246/4-stars-downtown-mrt-station-dt17,"15 Central Boulevard, S(018969)",Downtown MRT Station (DT17),Central District,"(1.2792813, 103.8527634)",4
294,MRT Station,https://www.toilet.org.sg/gallery/355/3-star-toilet-little-india-mrt-station-ne7,"60 Bukit Timah Road, S(229900)",Little India MRT Station (NE7),Central District,"(1.3068697, 103.849474)",3
295,MRT Station,https://www.toilet.org.sg/gallery/272/4-star-toilet-macpherson-mrt-station-dt26,"10 Circuit Link, S(378956)",Macpherson MRT Station (DT26),South East District,"(1.3262687, 103.8891872)",4
296,MRT Station,https://www.toilet.org.sg/gallery/323/4-star-toilet-little-india-mrt-station-dt12,"60 Bukit Timah Road, S(229900)",Little India MRT Station (DT12),Central District,"(1.3068697, 103.849474)",4
297,Club,https://www.toilet.org.sg/gallery/267/5-stars-seletar-country-club,"101 Seletar Club Road, S(798273)",Seletar Country Club,Central District,"(1.4096081, 103.8581298)",5
298,MRT Station,https://www.toilet.org.sg/gallery/260/4-stars-tai-seng-mrt-station-cc11,"33 Upper Paya Lebar Rd, S(534803)",Tai Seng MRT Station CC11,South East District,"(1.3347248, 103.8881417)",4
299,Coffeeshop,,"Blk 820, Tampines Street 81, #01-501, S(520820)",CCMW Tampines Street 81,North East District,"(1.3479324, 103.9361065)",4
300,Shopping Centre,https://www.toilet.org.sg/gallery/413/5-Star-Toilet-PLQ-Mall,"10 Paya Lebar Road, S(409057)",PLQ Mall,South East District,"(1.3173198, 103.892442)",5
301,Bus Interchange,https://www.toilet.org.sg/gallery/405/5-star-toilet-jurong-east-bus-interchange,"17A Jurong Gateway Road, S(608513)",Jurong East Bus Interchange,South West District,"(1.3343737, 103.7405641)",5
302,Market & Food Centre,https://www.toilet.org.sg/gallery/381/3-star-toilet-blk-1-jalan-kukoh-hawker-centre,"1 Jalan Kukoh, S(161001)",Blk 1 Jalan Kukoh Hawker Centre,Central District,"(1.2881765, 103.8398758)",3
303,Bus Interchange,https://www.toilet.org.sg/gallery/295/4-star-toilet-tuas-bus-terminal,"1 Tuas West Drive, S(638410)",Tuas Bus Terminal,South West District,"(1.345011, 103.639114)",4
