,web-scraper-order,web-scraper-start-url,type,image_link,image_link-href,award,address,toilet_name,district_name,coords
249,1647935913-3802,https://www.toilet.org.sg/loomapdirectory,MRT Station,Hougang MRT Station (NE14),https://www.toilet.org.sg/gallery/320/4-star-toilet-hougang-mrt-station-ne14,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","80 Hougang Central, S(538758)",Hougang MRT Station (NE14),North East District,"(1.3719899, 103.8919701)"
250,1647935913-3913,https://www.toilet.org.sg/loomapdirectory,Industrial Complex,LaunchPad @ JID,https://www.toilet.org.sg/gallery/386/3-star-toilet-launchpad-jid,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","2 Cleantech Loop, S(637144)",LaunchPad @ JID,South West District,"(1.3541418, 103.692448)"
251,1647935913-3929,https://www.toilet.org.sg/loomapdirectory,MRT Station,Chinese Garden MRT Staton (EW25),https://www.toilet.org.sg/gallery/345/4-star-toilet-chineses-garden-mrt-station-ew-25,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","151 Boon Lay Way, S(609959)",Chinese Garden MRT Staton (EW25),South West District,"(1.3424914, 103.7324817)"
252,1647935913-3778,https://www.toilet.org.sg/loomapdirectory,Tourist Attraction,Sentosa Palawan Beach (West),https://www.toilet.org.sg/gallery/242/5-stars-sentosa-palawan-beach-west,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Palawan Beach Walk, S(098038)",Sentosa Palawan Beach (West),Central District,
253,1647935913-3738,https://www.toilet.org.sg/loomapdirectory,MRT Station,Outram MRT Station (NE3),https://www.toilet.org.sg/gallery/312/4-star-toilet-outram-mrt-station-ne3,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>",10 Eu Tong Sen Street S(059815),Outram MRT Station (NE3),Central District,"(1.2887613, 103.8468272)"
254,1647935913-3889,https://www.toilet.org.sg/loomapdirectory,MRT Station,Upper Changi MRT Station,https://www.toilet.org.sg/gallery/256/4-stars-upper-changi-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","690 Upper Changi Road East, S(485990)",Upper Changi MRT Station,South East District,"(1.3422286, 103.9614026)"
255,1647935913-3936,https://www.toilet.org.sg/loomapdirectory,MRT Station,Kent Ridge MRT station,https://www.toilet.org.sg/gallery/195/4-star-toilet-kent-ridge-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","100, North Buona Vista Road, S(139345)",Kent Ridge MRT station,South West District,"(1.3073105, 103.7898406)"
256,1647935913-3825,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Bukit Panjang Intergrated Transport Hub,https://www.toilet.org.sg/gallery/252/5-stars-bukit-panjang-intergrated-transport-hub,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","15 Petir Road, S(678270)",Bukit Panjang Intergrated Transport Hub,North West District,"(1.3784446, 103.7638759)"
257,1647935913-3927,https://www.toilet.org.sg/loomapdirectory,MRT Station,Buona Vista MRT station,https://www.toilet.org.sg/gallery/193/4-star-toilet-buona-vista-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","301, South Buona Vista Road, S(118177)",Buona Vista MRT station,South West District,"(1.2933881, 103.7842699)"
258,1647935913-3726,https://www.toilet.org.sg/loomapdirectory,MRT Station,Lentor MRT Station (TE5),https://www.toilet.org.sg/gallery/418/4-Star-Toilet-Lentor-Mrt-Station-TE-5-,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","1 Lentor Drive, S(789361)",Lentor MRT Station (TE5),Central District,"(1.3853428, 103.8362834)"
259,1647935913-3654,https://www.toilet.org.sg/loomapdirectory,Government Office,Health Sciences Authority,https://www.toilet.org.sg/gallery/64/5-star-toilet-health-sciences-authority,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","11 Outram Road, S(169078)",Health Sciences Authority,Central District,"(1.2804789, 103.8384306)"
260,1647935913-3958,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Taman Jurong Shopping Centre,https://www.toilet.org.sg/gallery/171/4-star-toilet-taman-jurong-shopping-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>",Blk 399 Yung Sheng Road (Near Party World/NTUC),Taman Jurong Shopping Centre,South West District,
261,1647935913-3922,https://www.toilet.org.sg/loomapdirectory,MRT Station,Beauty World MRT Station (DT5),https://www.toilet.org.sg/gallery/359/4-star-toilet-beauty-world-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","101 Upper Bukit Timah Road, S(588216)",Beauty World MRT Station (DT5),South West District,"(1.3408774, 103.7758127)"
262,1647935913-3839,https://www.toilet.org.sg/loomapdirectory,MRT Station,Hillview MRT Station (DT3),https://www.toilet.org.sg/gallery/362/4-star-toilet-hillview-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","510 Upper Bukit Timah Road, S(678211)",Hillview MRT Station (DT3),North West District,"(1.3522743, 103.7697625)"
